"Pillar","Product","Module","Feature","Feature Owner","Release","Status NFS","Status WN","Feature Category","Tags ( AI / Redwood/AI Agent)","FDR Id","FDR Url","DCFR Ranking","OUPM Name","Prod Mngr Name","CDL Name","OMBP Mapping","Training Required? ","Reason why NF content cannot be built?","Implementation Feature? [Y/N] ","Qualifies for Certification question","Maps to Base Exam ( Provide base exam name)","Map to Delta Exam ( Provide Delta exam name)","List the Courses Impacted","Implementation Learning Path","CDL Assessment Complete?","Recording Date","Feature Classification","Combined Feature Video Name","CDL Daily Status Update","Type of Issue","Details of the Issue faced ","Response Received","Issue Resolution Outcome","Generate PPT (Exit From Grid View)","PPT Link","Recording","Video Ready for Pick-up","Video Ready Date","Review Status","Send Fixes Email To CDL","Video Review Fixes","PP Required?","QA Required?","PP Notes","Ready for PP","PP Dispatch Date","Post Production Resource","Post Production Start Date","Video ID","PP Complete","Post Production End Date","QA Dispatch Date","QA Resource","QA Date","QA Observations","QA Fixes Notification","QA Fixes?","QA Fixes Complete","QA Result ( Pass/ Fixes)","QA Complete","Setup Dispatch Date","Existing Setup Data","Setup Date","Awaiting Setup Data","MyLearn Link to Video","Container ID","Component ID","Transcript ID","Setup Status","OUPM Final Sign-off","LP Name","LP Description","Course Name","Course Description","Course Benefits","Course Keywords","Course Filters To Be Associated","Module Name","Final Overall Status","Target Release Date","Target Release Tier","Actual Release Date","Actual Release Tier","Feature GCC"
"HCM","Payroll","Payroll for Ireland","Domestic Violence Leave and Payment",,"11.13.26.07.0","Ready","Published","Setup Required",,,,,"Anitha","Niki","Kurt",,"TBD","If configured in POD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0175"
"HCM","Payroll","Global Payroll","Download Payslips Enhancement",,"11.13.26.07.0","Ready","Published","Ready to use, small scale with prerequisite",,,,"NA","Anitha","Niki","Kurt","Payroll Input to Payment","Yes",,,"Yes","Oracle Payroll Cloud 2026 Implementation Professional",,"Oracle Fusion Cloud HCM: Global Payroll","Become a Certified Payroll Implementer",,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0176"
"HCM","Workforce Scheduling","Workforce Scheduling","Dynamic Staffing Grid calculations",,"11.13.26.07.0","New","Published","Ready to use, small scale",,,,"NA","Anitha","Niki","Jess","Workforce Schedule to Payment","Yes","NA","No","No","NA","NA","NA",,,"7/21/2026","Single NF","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0177"
"HCM","Human Resources","Global Human Resources","Earnings and Deductions Links in Redwood Change Legal Employer Dashboard",,"11.13.26.07.0","New","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing of significance to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0178"
"HCM","Benefits","Benefits","Enable Redwood Experience for Benefits Plan Configuration Pages",,"11.13.26.07.0","In Review","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Deb","Benefits Enrollment to Coverage
","Yes",,"No","Yes","Exam 1Z0-1053-26: Oracle Benefits Cloud 2026 Implementation Professional","Exam 1D0-1053-26-D: Oracle Benefits Cloud 2026 Implementation Professional","D1113197GC10- Cloud Benefits"," Become a Certified Benefits Implementer","Yes","7/10/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Deb/26CHCM0179-EnableRedwoodExperienceforBenefitsPlanConfigurationPages.pptx?web=1&action=edit",,,"7/11/2026 9:11 AM","Approved",,,"Only Video ID Required","No",,,"7/13/2026 7:27 AM","Vidyashree","7/14/2026 1:30 PM","6401097524112",,"07/14/2026 08:05:30",,"Joseph",,,,,,,,"7/14/2026 1:05 AM",,"7/14/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/benefits/150531/275436","150531","275436","15268716",,,,,,,,,,,"Released (A)",,,"7/14/2026 2:12 PM",,"26CHCM0179"
"HCM","Human Resources","Global Human Resources","Enable SMS for Nudges Related to Journey Reminders",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing of significance to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0180"
"HCM","Human Resources","Global Human Resources","Enhance Employment Information and Team Insights AI Agents with Document Tool and Expanded Deep Link Support",,"11.13.26.07.0","New","Published","Setup Required","AI - Agent,Redwood",,,"Medium","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/22/2026","Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0181"
"HCM","Benefits","Benefits","Enhanced Benefits Analyst Agent for Flex Credits and Benefits Representatives",,"11.13.26.07.0","In Review","Published","Ready to use, small scale with prerequisite","Redwood",,,"NA","Anitha","Niki","Deb","Benefits Enrollment to Coverage
","Yes",,"No","Yes","Exam 1Z0-1053-26: Oracle Benefits Cloud 2026 Implementation Professional","Exam 1D0-1053-26-D: Oracle Benefits Cloud 2026 Implementation Professional","D1113197GC10- Cloud Benefits"," Become a Certified Benefits Implementer","WIP","7/11/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Deb/26CHCM0182-EnhancedBenefitsAnalystAgentforFlexCreditsandBenefitsRepresentatives.pptx?web=1&action=edit",,,"7/11/2026 2:54 PM","Approved",,,"Only Video ID Required","No",,,"7/13/2026 7:27 AM","Vidyashree","7/14/2026 1:30 PM","6401096267112",,"07/14/2026 08:05:50",,"Joseph",,,,,,,,"7/14/2026 1:05 AM",,"7/14/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/benefits/150531/275437","150531","275437","15268720",,,,,,,,,,,"Released (A)",,,"7/14/2026 2:13 PM",,"26CHCM0182"
"HCM","Recruiting","Recruiting Booster","Enhanced Candidate Search When Composing Messages in Message Center",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0183"
"HCM","Human Resources","Global Human Resources","Enhanced Context Display for Redwood Additional Person Info",,"11.13.26.07.0","In Review","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/14/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Rohit/26CHCM0184-EnhancedContextDisplayforRedwoodAdditionalPersonInfo.pptx?web=1&action=edit",,,"7/14/2026 6:26 AM","Approved",,,"Only Video ID Required","No",,,"7/15/2026 8:04 AM","Vidyashree","7/16/2026 10:00 AM","6401267321112",,"07/16/2026 04:57:31",,"Asief","7/16/2026 12:00 AM",,,,,"Pass",,"7/15/2026 9:57 PM",,"7/16/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-global-human-resources-core-hr/128170/275621
","128170","275621
","15277186",,,,,,,,,,,"Released (A)",,,"7/16/2026 11:28 AM",,"26CHCM0184"
"HCM","Payroll","Payroll for the United States","Enhanced Deferred Compensation Employer Matching for SUI Taxable Wages",,"11.13.26.07.0","New","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"Yes",,,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0185"
"HCM","Human Resources","Global Human Resources","Enhanced Journey Template Security with Data Roles",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,"NA","Anitha","Niki","Deb","Employee Onboarding to Retirement
","Yes",,"No","Yes","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional","S11004301GC1026A - Oracle Fusion Cloud HCM: Journeys","Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/13/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Deb/26CHCM0186-EnhancedJourneyTemplateSecuritywithDataRoles.pptx?web=1&action=edit",,,"7/13/2026 4:01 PM","Approved",,,"Only Video ID Required","No",,,"7/14/2026 5:49 AM","Vidyashree","7/15/2026 2:00 PM","6401185352112",,"07/15/2026 08:44:34",,"Michael",,,,,,,,"7/15/2026 1:44 AM",,"7/15/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-global-human-resources-core-hr/128170/275466","128170","275466","15271459",,,,,,,,,,,"Released (A)",,,"7/15/2026 5:45 AM",,"26CHCM0186"
"HCM","Human Resources","Global Human Resources","Enhanced Key Flexfield Display in Employment Processes",,"11.13.26.07.0","New","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing of significance to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0187"
"HCM","Human Resources","Global Human Resources","Enhanced Representative Assistant, supports Worker and Human Resource Specialist Queries",,"11.13.26.07.0","Reviewed","New","Setup Required","AI - Agent",,,,"Anitha","Niki","Rohit",,"No","Feature not listed in readiness portal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0188"
"HCM","Payroll","Payroll for India","Enhanced TDS Challan Mapping Process",,"11.13.26.07.0","In Review","In Review","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Kurt",,"Yes","Hopefully there is data",,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0189"
"HCM","Learning and Development","Learning Experience and Management","Enhancements for events used in courses",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0190"
"HCM","Payroll","Payroll for India","Enhancements for Flexible Benefits Plan",,"11.13.26.07.0","New","In Review","Setup Required","Redwood",,,,"Anitha","Niki","Kurt",,"Yes","Hopefully there is data",,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0191"
"HCM","Talent Management","Performance Management","Enhancements in All-in-One Evaluations",,"11.13.26.07.0","In Review","Published","Setup Required",,,,"Low","Anitha","Niki","Nigel","Workforce Goals to Performance","Yes","N/A","Yes","Yes","Oracle Talent Management Cloud 2026 Implementation Professional (1D0-1052-26-D)","Oracle Talent Management Cloud Implementation Professional - Delta (1D0-1052-26-D)","Oracle Fusion Cloud HCM: Configuring Goals and Performance Management","Become a Certified Talent Management Implementer","Yes","7/9/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0192-EnhancementsinAll-in-OneEvaluations.pptx?web=1&action=edit",,,"7/8/2026 10:29 PM","Approved",,,"Only Video ID Required","No",,,"7/9/2026 4:26 AM","Vidyashree","7/10/2026 10:00 AM","6400767050112",,"07/10/2026 04:48:04",,"Joseph",,,,,,,,"7/9/2026 9:48 PM",,"7/10/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-talent-management/128172/275321","128172","275321","15229066",,,,,,,,,,,"Released (A)",,,"7/10/2026 2:01 PM",,"26CHCM0192"
"HCM","Payroll","Payroll for India","Enhancements to Investment Declaration Flows",,"11.13.26.07.0","New","In Review","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Kurt",,"Yes","Hopefully there is data",,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0193"
"HCM","Compensation","Compensation","Enhancements to Redwood Individual Compensation Extensibility",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Kurt","Compensation Plans to Reward","Yes",,"No","No",,,,"Become a Certified Compensation Implementer","Yes","7/10/2026","Single NF",,"Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Kurt/26CHCM0194-EnhancementstoRedwoodIndividualCompensationExtensibility.pptx?web=1&action=edit",,,"7/10/2026 11:07 AM","Approved",,,"Only Video ID Required","No",,,"7/15/2026 7:29 AM","Vidyashree","7/16/2026 10:00 AM","6401266337112",,"07/16/2026 04:57:36",,"Asief","7/16/2026 12:00 AM",,,,,"Pass",,"7/15/2026 9:57 PM",,"7/16/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/what039s-new-in-compensation/128169/275622","128169","275622","15277187",,,,,,,,,,,"Released (A)",,,"7/16/2026 11:28 AM",,"26CHCM0194"
"HCM","Compensation","Compensation","Enhancements to Redwood Salary, Compensation History Extensibility",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Kurt","Compensation Plans to Reward","Yes",,"No","No",,,,"Become a Certified Compensation Implementer",,"7/10/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Kurt/26CHCM0195-EnhancementstoRedwoodSalary%2CCompensationHistoryExtensibility.pptx?web=1&action=edit",,,"7/10/2026 4:28 PM","Approved",,,"Only Video ID Required","No",,,"7/15/2026 7:30 AM","Vidyashree","7/16/2026 10:00 AM","6401266040112",,"07/16/2026 04:57:41",,"Asief","7/16/2026 12:00 AM",,,,,"Pass",,"7/15/2026 9:57 PM",,"7/16/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/what039s-new-in-compensation/128169/275623","128169","275623","15277188",,,,,,,,,,,"Released (A)",,,"7/16/2026 11:28 AM",,"26CHCM0195"
"HCM","Talent Management","Touchpoints","Enhancements to Team Sync Agent",,"11.13.26.07.0","Ready","Ready","Setup Required","Redwood",,,"Low","Anitha","Niki","Nigel","Workforce Goals to Performance","No","Feature not enabled in the env","Yes","Yes",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0196"
"HCM","Oracle Me Employee Experience","HCM Communicate","Express Communication Teams",,"11.13.26.07.0","New","Published","Setup Required",,,,"NA","Anitha","Niki","Nigel","Employee Experience to Business Outcome","Yes","N/A","No","No","N/A","N/A",,,"Yes","7/21/2026","Single NF","N/A","PPT Completed , Recording WIP",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0197-ExpressCommunicationTeams.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0197"
"HCM","Human Resources","Global Human Resources","Extract Data from Attachments to Prefill Document Record Attributes with AI Assistance",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/21/2026","Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0198"
"HCM","Workforce Scheduling","Workforce Scheduling","Fairness Rules and Coverage Priority for Schedule Generation",,"11.13.26.07.0","Ready","Published","Setup Required",,,,"NA","Anitha","Niki","Jess","Workforce Schedule to Payment","Yes","NA","No","No","NA","NA","NA",,,"7/21/2026","Single NF","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0199"
"HCM","Human Resources","Human Capital Management for France","Filter Collective Agreement Grades by Selected Collective Agreement",,"11.13.26.07.0","Ready","Published","Ready to use, small scale with prerequisite",,,,,"Anitha","Niki","Rohit",,"No","Legislative specific feature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0200"
"HCM","Workforce Scheduling","Workforce Scheduling","Flexible Duration Shift Swaps",,"11.13.26.07.0","Ready","Published","Setup Required",,,,"NA","Anitha","Niki","Jess","Workforce Schedule to Payment","Yes","NA","No","No","NA","NA","NA",,,"7/22/2026","Single NF","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0201"
"HCM","Payroll","Payroll for Canada","Global Uptake: Read Only Calculation Cards",,"11.13.26.07.0","New","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"No","Redwood page delivered as enabled. No Functionality change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0202"
"HCM","Payroll","Payroll for Mexico","Global Uptake: Read Only Employee Tax Card",,"11.13.26.07.0","In Review","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"TBD","If Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0203"
"HCM","Payroll","Payroll for Canada","Global Uptake: Retroactive Overpayment and Recovery for Absence Elements",,"11.13.26.07.0","New","Published","Setup Required",,,,,"Anitha","Niki","Kurt",,"Yes",,,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0204"
"HCM","Payroll","Payroll for Mexico","Global Uptake: Retroactive Overpayment and Recovery for Absence Elements",,"11.13.26.07.0","In Review","Published","Setup Required",,,,,"Anitha","Niki","Kurt",,"Yes","If data in POD",,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0205"
"HCM","Payroll","Payroll for the United States","GLOBAL UPTAKE: RETROACTIVE OVERPAYMENT AND RECOVERY FOR TIMECARD AND ABSENCE ELEMENTS",,"11.13.26.07.0","New","Reviewed","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"Yes",,,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0206"
"HCM","Learning and Development","Learning Experience and Management","Harvard Publishing Spark Collection",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0207"
"HCM","Recruiting","Recruiting","Hiring Workspace for Store Managers",,"11.13.26.07.0","Ready","Ready","Setup Required","AI - Agentic App,Redwood",,,"High","Anitha","Niki","Sarah",,"No","Already created a stand alone course for this AI Agentic app","Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0208"
"HCM","Talent Management","Goal Management","HR-Assisted Organizational Goal Publishing for Executive Leaders",,"11.13.26.07.0","New","New",,"Redwood",,,"Low","Anitha","Niki","Nigel","Workforce Goals to Performance","No","Duplicate of:  Redwood: Enable HR Administrators to Publish Organization Goals on Behalf of Executive Leaders",,,,,,"Become a Certified Talent Management Implementer","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0209"
"HCM","Compensation","Compensation","HSDL and Migration Support for Calculation Type Simple Component",,"11.13.26.07.0","Ready","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"No","small update to salary basis to be able to load simple component calc. self explanatory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0210"
"HCM","Learning and Development","Learning Experience and Management","Instructor activity center enhancements",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0211"
"HCM","Talent Management","Check-Ins","Integrate Calendars with Check-In Documents",,"11.13.26.07.0","In Review","In Review","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Nigel","Workforce Goals to Performance","No","No information available",,"No","N/A","N/A",,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0212"
"HCM","Opportunity Marketplace","Opportunity Marketplace","Internal Hiring Events",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/15/2026","Combined Primary NF","Internal Hiring Events","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0213-InternalHiringEvents.pptx?web=1&action=edit",,,"7/15/2026 10:10 AM","Approved",,,"Only Video ID Required","No",,,"7/16/2026 9:08 AM","Vidyashree","7/17/2026 12:00 PM","6401369434112",,"07/17/2026 06:40:54",,,,,,,,,,"7/16/2026 11:40 PM",,,,,,,,,,"What's New in Opportunity Marketplace
",,,,,,,,"In Setup (A)",,,,,"26CHCM0213"
"HCM","Learning and Development","Learning Experience and Management","Introducing agentic courses",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent",,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0214"
"HCM","Human Resources","Workforce Directory Management","Introducing HCM Professional Activity Center",,"11.13.26.07.0","Ready","Published","Ready to use, small scale with prerequisite","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing of significance to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0215"
"HCM","Compensation","Transactional Business Intelligence Enterprise for Compensation","Introducing the Total Compensation Statements Setup Subject Area",,"11.13.26.07.0","Ready","Published","Report",,,,"NA","Anitha","Niki","Nigel","N/A","Yes","N/A","No","No","N/A","N/A","Oracle Fusion Cloud HCM: Foundations of OTBI

Oracle Fusion Cloud HCM: Advanced OTBI Techniques

Oracle Fusion Cloud HCM: Analytics Publisher",,"Yes","7/6/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0216-IntroducingtheTotalCompensationStatementsSetupSubjectArea.pptx?web=1&action=edit",,,"7/6/2026 6:23 AM","Fixes Completed By CDL",,,"Only Video ID Required","No",,,"7/7/2026 12:33 AM","Vidyashree","7/7/2026 4:30 PM","6400434605112",,"07/07/2026 11:09:05",,"Joseph",,,,,,,,"7/7/2026 4:09 AM",,"7/8/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-compensation/128169/274966","128169","274966","15218531",,,,,,,,,,,"Released (A)",,,"7/8/2026 2:24 PM",,"26CHCM0216"
"HCM","Absence Management","Absence Management","Invalid Dates are Disabled in the Date Picker",,"11.13.26.07.0","Ready","Published","Ready to use, small scale",,,,"NA","Anitha","Niki","Nigel","Absence Policy to Compliance","No","Small change… Nothing of value to add",,"No","N/A","N/A",,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0217"
"HCM","Learning and Development","Learning Experience and Management","Learning Catalog Calendar for Managers",,"11.13.26.07.0","Ready","Published","Setup Required",,,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0218"
"HCM","Learning and Development","Learning Experience and Management","Learning catalog calendar for specialists",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,,"Anitha","Niki","TBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0219"
"HCM","Payroll","Payroll for India","Legislative Updates for the Tax Year 2026 – 2027",,"11.13.26.07.0","Ready","Reviewed","Ready to use, small scale with prerequisite",,,,,"Anitha","Niki","Kurt",,"No","Nothing to show Tax update values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0220"
"HCM","Payroll","Payroll for the United Kingdom","LGPS Stringer Days",,"11.13.26.07.0","In Review","Published","Setup Required",,,,,"Anitha","Niki","Kurt",,"TBD","Requires new element (no issue), Requires Absence plans, Absence Types, Absence Entries, Certificate, Absence Case. Don't know if all the absence information will be configured in POD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0221"
"HCM","Payroll","Payroll for the United States","Local Tax Jurisdiction Sync on Tax Withholding Card",,"11.13.26.07.0","New","Published","Ready to use, larger scale",,,,,"Anitha","Niki","Kurt",,"Yes",,,,,,,,,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0222"
